"Customer ID","Number of Referrals","Tenure in Months",Offer,"Phone Service","Avg Monthly Long Distance Charges","Multiple Lines","Internet Type","Avg Monthly GB Download","Online Security","Online Backup","Device Protection Plan","Premium Tech Support","Streaming TV","Streaming Movies","Streaming Music","Unlimited Data",Contract,"Paperless Billing","Payment Method","Monthly Charge","Total Charges","Total Refunds","Total Extra Data Charges","Total Long Distance Charges","Total Revenue",City,"Zip Code",Latitude,Longitude,Population,Gender,Age,Married,"Number of Dependents","Satisfaction Score","Customer Status","Churn Label","Churn Score",CLTV,"Churn Category","Churn Reason"
3488-PGMQJ,0,8,None,Yes,1.78,No,"Fiber Optic",7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",74.5,606.55,0,0,14.24,620.79,Alpine,91901,32.827184,-116.703729,"16,486",Male,66,No,0,2,Churned,Yes,80,4345,Dissatisfaction,"Poor expertise of online support"
7534-BFESC,0,24,"Offer C",Yes,30.87,Yes,"Fiber Optic",15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",76.1,1712.7,0,0,740.88,2453.58,"San Diego",92122,32.85723,-117.209774,"34,902",Male,69,No,0,2,Churned,Yes,91,2018,Competitor,"Competitor made better offer"
8098-LLAZX,0,4,"Offer E",Yes,31.61,Yes,"Fiber Optic",2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.45,396.1,0,0,126.44,522.54,"San Diego",92122,32.85723,-117.209774,"34,902",Female,74,No,0,3,Churned,Yes,85,3677,Competitor,"Competitor made better offer"
0265-EDXBD,2,32,"Offer C",Yes,47.34,Yes,"Fiber Optic",10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",74.9,2303.35,0,0,1514.88,3818.23,"San Diego",92122,32.85723,-117.209774,"34,902",Male,76,Yes,0,2,Churned,Yes,69,4105,Attitude,"Attitude of support person"
2840-XANRC,1,24,"Offer C",Yes,16.1,No,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",93.15,2231.05,0,0,386.4,2617.45,"San Diego",92122,32.85723,-117.209774,"34,902",Male,77,Yes,0,2,Churned,Yes,73,2212,Competitor,"Competitor made better offer"
5020-ZSTTY,0,54,"Offer B",Yes,12.08,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",82.45,4350.1,0,0,652.32,5002.42,"San Diego",92122,32.85723,-117.209774,"34,902",Female,70,No,0,1,Churned,Yes,83,4149,Competitor,"Competitor made better offer"
5804-LEPIM,0,2,"Offer E",Yes,13.17,No,"Fiber Optic",10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",70.35,139.05,0,0,26.34,165.39,"San Diego",92122,32.85723,-117.209774,"34,902",Female,74,No,0,3,Churned,Yes,73,2671,Other,"Don't know"
0623-IIHUG,0,21,None,No,0,No,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",41.9,840.1,0,0,0,840.1,"San Diego",92122,32.85723,-117.209774,"34,902",Female,77,No,0,1,Churned,Yes,90,4778,Competitor,"Competitor made better offer"
9057-MSWCO,0,27,None,No,0,No,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,"Credit Card",30.75,805.1,0,140,0,945.1,"San Diego",92122,32.85723,-117.209774,"34,902",Male,71,Yes,0,1,Churned,Yes,91,2927,Competitor,"Competitor made better offer"
4895-TMWIR,1,11,None,Yes,29.54,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,"Mailed Check",19.95,214.75,0,0,324.94,539.69,"San Diego",92122,32.85723,-117.209774,"34,902",Male,79,Yes,0,1,Churned,Yes,80,5888,Competitor,"Competitor made better offer"
0533-BNWKF,2,55,"Offer B",Yes,42.82,Yes,"Fiber Optic",27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",85.45,4874.7,0,90,2355.1,7319.8,"San Diego",92122,32.85723,-117.209774,"34,902",Female,66,Yes,0,1,Churned,Yes,91,5502,Competitor,"Competitor made better offer"
0334-GDDSO,0,3,"Offer E",Yes,9.22,Yes,"Fiber Optic",14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",81.35,233.7,0,0,27.66,261.36,"San Diego",92122,32.85723,-117.209774,"34,902",Male,77,No,0,1,Churned,Yes,73,2818,Competitor,"Competitor made better offer"
5564-NEMQO,0,1,"Offer E",Yes,35.09,No,"Fiber Optic",17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",75.3,75.3,0,20,35.09,130.39,Thermal,92274,33.53604,-116.119222,"17,018",Female,80,No,0,2,Churned,Yes,67,4902,Dissatisfaction,"Network reliability"
6235-VDHOM,0,5,"Offer E",No,0,No,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",28.45,131.05,0,0,0,131.05,Riverside,92509,34.004379,-117.447864,"63,999",Female,77,No,0,2,Churned,Yes,89,4099,Dissatisfaction,"Limited range of services"
5609-CEBID,0,20,None,Yes,48.73,Yes,"Fiber Optic",12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,"Bank Withdrawal",94.1,1782.4,0,80,974.6,2837,Hemet,92544,33.644585,-116.871544,"39,264",Female,77,No,0,1,Churned,Yes,87,2666,Competitor,"Competitor had better devices"
5956-VKDTT,4,5,"Offer E",Yes,45.76,Yes,"Fiber Optic",22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",74.35,334.8,0,0,228.8,563.6,"Moreno Valley",92557,33.970661,-117.255039,"46,214",Female,72,Yes,0,1,Churned,Yes,82,5273,Dissatisfaction,"Product dissatisfaction"
0257-ZESQC,2,27,None,Yes,7.02,No,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",75.2,1929.35,0,0,189.54,2118.89,Perris,92571,33.828289,-117.201666,"26,357",Female,80,Yes,0,1,Churned,Yes,91,4517,Attitude,"Attitude of support person"
2865-TCHJW,0,4,None,Yes,48.35,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.2,346.2,0,0,193.4,539.6,Anaheim,92807,33.848733,-117.788357,"36,301",Female,74,No,0,1,Churned,Yes,74,5808,Competitor,"Competitor had better devices"
5192-EBGOV,0,1,None,Yes,45.81,Yes,"Fiber Optic",21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",85.7,85.7,0,0,45.81,131.51,Brea,92823,33.924143,-117.79387,"1,408",Female,68,No,0,1,Churned,Yes,66,4880,Competitor,"Competitor had better devices"
3419-SNJJD,3,65,"Offer B",Yes,18.39,Yes,"Fiber Optic",28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,"Bank Withdrawal",105.25,6786.4,0,0,1195.35,7981.75,"Yorba Linda",92887,33.884073,-117.732197,"20,893",Female,78,Yes,0,1,Churned,Yes,91,4196,Attitude,"Attitude of support person"
4554-YGZIH,3,49,"Offer B",Yes,22.92,Yes,"Fiber Optic",14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,"Credit Card",90.05,4547.25,0,0,1123.08,5670.33,Summerland,93067,34.420998,-119.60137,576,Male,75,Yes,0,2,Churned,Yes,96,5059,Competitor,"Competitor made better offer"
5099-BAILX,1,43,"Offer B",Yes,14.52,Yes,"Fiber Optic",5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",110.75,4687.9,0,0,624.36,5312.26,"Santa Barbara",93101,34.419203,-119.710008,"31,727",Male,77,Yes,0,2,Churned,Yes,65,2728,Competitor,"Competitor made better offer"
4913-EHYUI,0,56,"Offer B",Yes,48.8,Yes,"Fiber Optic",12,Yes,No,Yes,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",104.55,5794.65,0,0,2732.8,8527.45,Alpaugh,93201,35.869626,-119.498771,"1,054",Male,80,Yes,0,1,Churned,Yes,91,6268,Competitor,"Competitor offered higher download speeds"
1626-ERCMM,7,20,None,Yes,5.31,Yes,"Fiber Optic",10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.55,1899.65,0,0,106.2,2005.85,"Camp Nelson",93208,36.057458,-118.591951,191,Male,75,Yes,0,1,Churned,Yes,84,5604,Competitor,"Competitor had better devices"
5644-PDMZC,0,2,None,Yes,47.47,Yes,"Fiber Optic",19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",89.5,161.5,0,0,94.94,256.44,Delano,93215,35.772244,-119.209689,"37,280",Female,69,No,0,2,Churned,Yes,80,2065,Attitude,"Attitude of support person"
4160-AMJTL,0,8,None,Yes,27.95,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",19.65,164.3,0,0,223.6,387.9,Fellows,93224,35.215731,-119.57013,626,Female,74,No,0,2,Churned,Yes,83,5432,Attitude,"Attitude of support person"
0823-HSCDJ,0,52,None,No,0,No,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",49.15,2550.9,0,30,0,2580.9,Temecula,92592,33.507255,-117.029473,"46,171",Male,76,No,0,2,Churned,Yes,90,5597,Competitor,"Competitor made better offer"
0067-DKWBL,0,2,None,Yes,43.99,No,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",49.25,91.1,0,0,87.98,179.08,"San Diego",92129,32.961064,-117.134917,"47,224",Male,69,No,0,2,Churned,Yes,95,3475,Competitor,"Competitor made better offer"
5244-IRFIH,1,33,None,Yes,27.78,Yes,"Fiber Optic",8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.5,3105.55,0,0,916.74,4022.29,"San Diego",92129,32.961064,-117.134917,"47,224",Male,72,Yes,0,3,Churned,Yes,91,4333,Other,"Poor expertise of online support"
2684-EIWEO,0,30,None,Yes,45.88,Yes,"Fiber Optic",19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,"Credit Card",91.7,2758.15,0,0,1376.4,4134.55,"San Diego",92129,32.961064,-117.134917,"47,224",Female,69,No,0,1,Churned,Yes,90,2482,Competitor,"Competitor made better offer"
6683-VLCTZ,0,20,None,Yes,44.44,Yes,"Fiber Optic",13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,"Bank Withdrawal",98.55,1842.8,0,120,888.8,2851.6,"San Diego",92129,32.961064,-117.134917,"47,224",Male,73,No,0,3,Churned,Yes,92,5444,Competitor,"Competitor made better offer"
0691-IFBQW,0,46,None,Yes,2.37,Yes,"Fiber Optic",20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",110,4874.8,0,0,109.02,4983.82,Biola,93606,36.798882,-120.019511,807,Female,65,No,0,1,Churned,Yes,81,2403,Competitor,"Competitor made better offer"
3643-AHCFP,1,7,None,Yes,21.91,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.6,644.35,0,0,153.37,797.72,Selma,93662,36.545322,-119.642281,"26,213",Male,74,Yes,0,3,Churned,Yes,83,3265,Competitor,"Competitor made better offer"
9231-ZJYAM,0,4,None,Yes,36.93,No,"Fiber Optic",18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",78.85,292.8,0,0,147.72,440.52,"Squaw Valley",93675,36.719141,-119.202677,"3,146",Female,65,No,0,3,Churned,Yes,72,5301,Other,Moved
0727-BMPLR,0,55,None,Yes,37.38,Yes,"Fiber Optic",7,No,No,Yes,No,Yes,Yes,Yes,No,"One Year",Yes,"Bank Withdrawal",100,5509.3,0,100,2055.9,7665.2,Fresno,93706,36.654614,-119.903674,"35,790",Female,66,No,0,3,Churned,Yes,83,5679,Competitor,"Competitor offered higher download speeds"
0947-MUGVO,1,20,None,Yes,5.37,No,"Fiber Optic",24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",73.65,1463.5,0,0,107.4,1570.9,Jolon,93928,35.930782,-121.189757,254,Male,71,Yes,0,1,Churned,Yes,95,5849,Competitor,"Competitor had better devices"
0781-LKXBR,0,9,None,Yes,48.71,Yes,"Fiber Optic",15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",100.5,918.6,0,0,438.39,1356.99,"San Francisco",94102,37.7795,-122.419233,"28,998",Male,65,No,0,1,Churned,Yes,70,4038,Competitor,"Competitor had better devices"
1907-UBQFC,0,10,None,Yes,5.46,No,"Fiber Optic",24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",72.85,688.65,0,30,54.6,773.25,"San Francisco",94108,37.791998,-122.408653,"13,723",Male,69,No,0,1,Churned,Yes,91,3189,Competitor,"Competitor had better devices"
6513-EECDB,0,1,None,Yes,36.92,Yes,"Fiber Optic",6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",73.55,73.55,0,0,36.92,110.47,"San Francisco",94114,37.758085,-122.434801,"30,587",Male,75,Yes,0,2,Churned,Yes,94,4369,Price,"Price too high"
7074-IEVOJ,0,3,None,Yes,41.9,Yes,"Fiber Optic",11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",79.4,205.05,0,0,125.7,330.75,"San Francisco",94130,37.820894,-122.369725,"1,458",Female,75,No,0,1,Churned,Yes,91,3501,Dissatisfaction,"Product dissatisfaction"
4750-ZRXIU,0,4,None,Yes,6.68,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",84.6,360.1,0,0,26.72,386.82,"Palo Alto",94304,37.386978,-122.177746,"1,723",Female,68,No,0,1,Churned,Yes,83,2467,Competitor,"Competitor had better devices"
7028-DVOIQ,0,35,None,Yes,20.83,Yes,"Fiber Optic",19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,"Bank Withdrawal",99.05,3395.8,0,120,729.05,4244.85,"Birds Landing",94512,38.140719,-121.838298,138,Male,71,No,0,1,Churned,Yes,82,2074,Other,"Don't know"
4208-UFFGW,0,2,"Offer E",Yes,26.62,No,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Credit Card",44.95,85.15,0,0,53.24,138.39,Byron,94514,37.83323,-121.601461,"10,153",Male,80,No,0,2,Churned,Yes,84,5900,Other,"Don't know"
9889-TMAHG,0,8,None,Yes,11.57,No,"Fiber Optic",27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,"Credit Card",100.3,832.35,0,0,92.56,924.91,Fremont,94539,37.516791,-121.899117,"46,917",Male,66,No,0,1,Churned,Yes,74,5084,Competitor,"Competitor had better devices"
8919-FYFQZ,2,44,None,No,0,No,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",30.35,1359.7,0,0,0,1359.7,Livermore,94550,37.571748,-121.659562,"75,929",Male,73,Yes,0,1,Churned,Yes,96,4829,Competitor,"Competitor had better devices"
6646-QVXLR,1,62,None,Yes,7.11,Yes,"Fiber Optic",16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",103.75,6383.35,0,0,440.82,6824.17,Napa,94558,38.489789,-122.27011,"63,947",Male,77,Yes,0,1,Churned,Yes,91,5052,Competitor,"Competitor had better devices"
9369-XFEHK,1,33,None,Yes,33.19,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",80.6,2656.5,0,0,1095.27,3751.77,Pleasanton,94566,37.633361,-121.862395,"36,669",Female,76,Yes,0,2,Churned,Yes,72,3601,Competitor,"Competitor offered more data"
1374-DMZUI,0,4,"Offer E",Yes,49.5,Yes,"Fiber Optic",23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.3,424.45,0,0,198,622.45,"San Ramon",94583,37.766556,-121.976784,"44,078",Female,65,No,0,2,Churned,Yes,91,5419,Competitor,"Competitor made better offer"
1989-PRJHP,1,27,None,Yes,10.6,Yes,"Fiber Optic",23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",75.5,1893.95,0,0,286.2,2180.15,Pleasanton,94588,37.685052,-121.912061,"28,568",Male,75,Yes,0,1,Churned,Yes,65,2377,Competitor,"Competitor had better devices"
4822-RVYBB,0,8,"Offer E",Yes,40.45,Yes,"Fiber Optic",29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",100.6,819.4,0,0,323.6,1143,Berkeley,94704,37.871416,-122.246597,"21,205",Male,75,No,0,1,Churned,Yes,90,5906,Attitude,"Attitude of support person"
4184-TJFAN,1,3,"Offer E",Yes,25.77,No,"Fiber Optic",2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Mailed Check",88.3,273.75,0,0,77.31,351.06,Berkeley,94707,37.897753,-122.279391,"11,889",Female,68,Yes,0,1,Churned,Yes,68,4486,Attitude,"Attitude of support person"
4145-UQXUQ,0,8,"Offer E",Yes,42.93,No,"Fiber Optic",9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",92.1,729.95,0,0,343.44,1073.39,Berkeley,94710,37.872902,-122.303708,"8,157",Female,71,No,0,1,Churned,Yes,81,5662,Competitor,"Competitor had better devices"
1236-WFCDV,0,14,None,Yes,11.31,No,"Fiber Optic",24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,"Credit Card",90.45,1266.1,0,0,158.34,1424.44,Greenbrae,94904,37.946617,-122.563571,"12,010",Male,74,No,0,3,Churned,Yes,96,4777,Competitor,"Competitor offered more data"
1271-SJBGZ,0,12,None,No,0,No,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",43.65,526.95,0,0,0,526.95,"Forest Knolls",94933,38.010092,-122.689442,"1,025",Male,77,No,0,1,Churned,Yes,74,2437,Competitor,"Competitor had better devices"
4441-NIHPT,0,13,None,Yes,40.37,No,"Fiber Optic",21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",74.3,940.35,0,0,524.81,1465.16,Freedom,95019,36.936228,-121.785559,"4,753",Female,73,No,0,1,Churned,Yes,90,2995,Competitor,"Competitor had better devices"
8999-BOHSE,0,11,None,Yes,3.96,No,"Fiber Optic",27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,"Bank Withdrawal",89.7,1047.7,0,0,43.56,1091.26,Gilroy,95020,37.03889,-121.528955,"49,968",Female,68,No,0,2,Churned,Yes,89,2202,Attitude,"Attitude of support person"
7029-RPUAV,1,17,None,Yes,28.18,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Credit Card",100.45,1622.45,0,0,479.06,2101.51,"Los Gatos",95030,37.222842,-121.988727,"13,290",Male,74,Yes,0,3,Churned,Yes,87,5508,Competitor,"Competitor offered more data"
8111-SLLHI,1,39,None,Yes,33.25,Yes,"Fiber Optic",26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",105.65,4284.8,0,0,1296.75,5581.55,"San Jose",95128,37.316146,-121.936285,"32,804",Male,65,Yes,0,3,Churned,Yes,96,4687,Attitude,"Attitude of support person"
5293-WXJAK,5,11,None,Yes,17.25,Yes,"Fiber Optic",27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",104.05,1133.65,0,0,189.75,1323.4,"San Jose",95135,37.28682,-121.723877,"15,798",Female,73,Yes,0,3,Churned,Yes,82,4553,Competitor,"Competitor offered more data"
4086-YQSNZ,1,3,"Offer E",Yes,3.29,No,"Fiber Optic",9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",80.4,224.05,0,0,9.87,233.92,Glencoe,95232,38.358464,-120.579304,21,Female,74,Yes,0,2,Churned,Yes,89,3834,Attitude,"Attitude of service provider"
8399-YNDCH,0,21,None,Yes,34.62,No,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",60.05,1236.15,0,0,727.02,1963.17,Columbia,95310,38.085839,-120.37855,"2,144",Male,80,No,0,1,Churned,Yes,70,4716,Competitor,"Competitor had better devices"
5565-FILXA,0,16,None,Yes,38.75,Yes,"Fiber Optic",16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",96.15,1529.2,0,0,620,2149.2,Escondido,92027,33.141265,-116.967221,"48,690",Female,76,No,0,2,Churned,Yes,96,5913,Other,"Don't know"
4187-CINZD,0,46,None,Yes,6.13,No,"Fiber Optic",30,No,Yes,No,No,Yes,Yes,No,Yes,"One Year",No,"Credit Card",95.25,4424.2,0,0,281.98,4706.18,Lakewood,90712,33.840524,-118.148403,"30,173",Female,73,No,0,2,Churned,Yes,90,3180,Competitor,"Competitor had better devices"
6818-WOBHJ,1,68,"Offer A",Yes,24.13,Yes,"Fiber Optic",24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.6,6127.6,0,0,1640.84,7768.44,Fulton,95439,38.493888,-122.777141,476,Female,70,Yes,0,1,Churned,Yes,69,5651,Competitor,"Competitor had better devices"
